'original_name'"'hrvatski_naziv'"'liturgical_color'
'Die 3 ianuarii'"'Subota 1. tjedna božićnog vremena'"'white'
'Feria quarta post Epiphaniam'"'Srijeda 1. tjedna božićnog vremena'"'white'
'Sabbato, hebdomada undecima per annum'"'Subota 11. tjedna vremena kroz godinu'"'green'
'Dominica duodecima per annum'"'12. nedjelja kroz godinu'"'green'
'S. Paulini Nolani, episcopi'"'Sv. Paulin iz Nole, biskup'"'white'
'Feria tertia, hebdomada duodecima per annum'"'Utorak 12. tjedna vremena kroz godinu'"'green'
'In Nativitate S. Ioannis Baptistæ'"'Rođenje Sv. Ivana Krstitelja'"'white'
'Feria quinta, hebdomada duodecima per annum'"'Četvrtak 12. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada duodecima per annum'"'Petak 12. tjedna vremena kroz godinu'"'green'
'S. Cyrilli Alexandrini, episcopi et Ecclesiæ doctoris'"'Sv. Ćiril Aleksandrijski, biskup i crkveni naučitelj'"'white'
'Dominica decima tertia per annum'"'13. nedjelja kroz godinu'"'green'
'Ss. Petri et Pauli, apostolorum'"'Sv. Petar i Pavao, apostoli'"'red'
'Ss. Protomartyrum S. Romanæ Ecclesiæ'"'Sv. Protomučenici Svete Rimske Crkve'"'red'
'Feria quarta, hebdomada decima tertia per annum'"'Srijeda 13. tjedna vremena kroz godinu'"'green'
'Feria quinta, hebdomada decima tertia per annum'"'Četvrtak 13. tjedna vremena kroz godinu'"'green'
'S. Thomæ, apostoli'"'Sv. Toma, apostol'"'red'
'S. Elisabeth Lusitaniæ'"'Sv. Elizabeta Portugalska'"'white'
'Dominica decima quarta per annum'"'14. nedjelja kroz godinu'"'green'
'S. Mariæ Goretti, virginis et martyris'"'Sv. Maria Goreti, djevica i mučenica'"'red'
'Feria tertia, hebdomada decima quarta per annum'"'Utorak 14. tjedna vremena kroz godinu'"'green'
'Feria quarta, hebdomada decima quarta per annum'"'Srijeda 14. tjedna vremena kroz godinu'"'green'
